,,mean_los,mean_los,max_occupancy,equity_index
,,mean,std,mean,mean
scenario,policy,,,,
baseline,dqn_dt,98.77,4.2,52.6,0.0
baseline,esi_fifo,99.15,3.34,53.5,0.0
baseline,heuristic,99.15,3.34,53.5,0.0
baseline,srpt,99.15,3.34,53.5,0.0
combined_stress,dqn_dt,98.31,2.43,67.4,0.0
combined_stress,esi_fifo,98.48,2.44,76.2,0.0
combined_stress,heuristic,98.48,2.44,76.2,0.0
combined_stress,srpt,98.48,2.44,76.2,0.0
demand_+40%,dqn_dt,98.31,2.43,67.4,0.0
demand_+40%,esi_fifo,98.48,2.44,76.2,0.0
demand_+40%,heuristic,98.48,2.44,76.2,0.0
demand_+40%,srpt,98.48,2.44,76.2,0.0
resources_-25%,dqn_dt,98.77,4.2,52.6,0.0
resources_-25%,esi_fifo,99.15,3.34,53.5,0.0
resources_-25%,heuristic,99.15,3.34,53.5,0.0
resources_-25%,srpt,99.15,3.34,53.5,0.0
